,job_id,job_name,job_location,job_age,job_posting_description,job_salary_range,job_salary_estimate_type,company,company_total_rating,proportion_reviewers_recommend_company,company_individual_ratings,company_type_size_sector_industry_yearFounded
0,1008762069830,Senior Data Analyst,Remote,25d,"We are a leading ecommerce business (electric vehicles) committed to providing excellent service and a wide range of products to our customers. Our goal is to empower customers with high-quality items that enhance their lifestyles, and we’re looking for a Senior Data Analyst to help us understand our data and drive our business growth.
Job Description:
As our Senior Data Analyst, you will be responsible for analyzing our ecommerce and marketing data to help optimize our online store performance, improve our marketing strategies, and drive profitable growth. You'll work closely with various departments including marketing, inventory, and finance, providing actionable insights based on your analysis.
Responsibilities:",SGD 50K - SGD 55K (Employer est.),(Employer est.),VORO MOTORS3.8 ★,3.8,57 %,"['Career Opportunities', '3.0', '', '', 'Culture & Values', '3.1', 'Senior Management', '3.0', 'Work/Life Balance', '3.5']","['Company - Private', '51 to 200 Employees', 'Retail & Wholesale', 'Vehicle Dealers', '2017']"
1,1008799302857,IT Business Analyst (No coding / High Bonus/ WFH Hybrid/ Fast Hiring) JO,Singapore,6d,"IT Business Analyst (No coding / High Bonus/ WFH Hybrid/ Fast Hiring)

• High Bonus + Attractive Benefits (depends on experience)
Hybrid WFH Work Module
• Training will be provided.
Good career progression
Permanent Role
Salary will commensurate according to Candidates’ Work Experience & Qualifications",SGD 5K - SGD 9K (Employer est.),(Employer est.),SEARCH INDEX PTE. LTD.3.6 ★,3.6,63 %,"['Career Opportunities', '3.2', 'Comp & Benefits', '3.7', 'Culture & Values', '3.9', 'Senior Management', '3.7', 'Work/Life Balance', '4.7']","['Self-employed', '1 to 50 Employees', None, None, None]"
2,1008810858685,Business Analyst (Perm Role),Singapore,24h,"Provide on-going application support and be involved in various stages of the SDLC
Conduct user requirement gathering for new systems and/or enhancements to existing systems/solutions
Provide 24/7 primary application maintenance support
Conduct user requirement analysis for the development / implementation of new systems and enhancements to existing systems
Perform documentation of requirements and new process/workflows for the developed solutions
Perform functional analysis of new systems and enhancements to existing systems
Involvement in the various testing phases prior to implementation, including but not limited to developing test plans and cases, conducting testing and verifying test results and following up on issues to resolution",SGD 7K - SGD 10K (Employer est.),(Employer est.),BGC GROUP PTE. LTD.3.7 ★,3.7,49 %,"['Career Opportunities', '3.1', 'Comp & Benefits', '3.0', 'Culture & Values', '3.3', 'Senior Management', '3.2', 'Work/Life Balance', '3.6']","['Company - Public', '51 to 200 Employees', 'Human Resources & Staffing', 'HR Consulting', '2005']"
3,1008803997038,IT Application Business Analyst,Singapore,3d,"Job Description:

Scope of Service- The IT Application BA shall be involved in strategizing and implementation of the projects and initiatives involving the requirement study, procurement, testing, management, implementation, and maintenance support of applications.

Job Requirements:
Candidate must have minimally 3 years of relevant IT Application BA experience.
Candidate must have 1 year of working experience with Agile Methodologies, tools and delivery.
Candidate must have 1 year of exposure in Cloud Technology and implementation.
Technical Skillset in recent 5 years: a. Candidate with minimally 3 years of experience in supporting .Net or J2EE, Oracle Database or SQL Database, WebLogic or JBoss or Tomcat.



Employee Status : Full Time Employee

Shift : Day Job

Travel : No

Job Posting : Aug 08 2023

About Cognizant
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant.",SGD 69K - SGD 90K (Glassdoor est.),(Glassdoor est.),Cognizant3.8 ★,3.8,75 %,"['Career Opportunities', '3.7', 'Comp & Benefits', '3.4', 'Culture & Values', '3.7', 'Senior Management', '3.3', 'Work/Life Balance', '3.5']","['Company - Public', '10000+ Employees', 'Information Technology', 'Information Technology Support Services', '1994']"
4,1008806044086,Business Analyst - Specialist,Singapore,2d,"Employment Type
Permanent
Closing Date
16 Aug 2023 11:59pm
Job Title
Business Analyst - Specialist
Job Summary
Job Description
""We're Australia's leading telecommunications and technology company. And with a global presence in more than 22 countries, we have a strong global footprint. Our purpose is to build a connected future so everyone can thrive. We're all about providing the best experience and delivering the best tech on the best network.
We are committed to making Telstra the best place to work and creating a diverse and inclusive workplace that works for everyone.
Make a difference",,,Telstra3.9 ★,3.9,77 %,"['Career Opportunities', '3.6', 'Comp & Benefits', '3.7', 'Culture & Values', '3.9', 'Senior Management', '3.5', 'Work/Life Balance', '4.2']","['Company - Public', '10000+ Employees', 'Telecommunications', 'Telecommunications Services', '1901']"
5,1008790980375,Business Analyst (Contract),Singapore,10d,"ENGIE is a global energy company, a leading provider of electricity, natural gas, and energy services. With 100,000 employees in more than 50 countries worldwide, ENGIE Group achieved a revenue of €93 billion in 2022. ENGIE is committed to being a leader in the energy transition.
We are looking for talented and motivated people to create the future of energy. Join a rewarding and flexible work environment that encourages innovation and creativity and help us meet the energy challenges of today and tomorrow.

Global Energy Management & Sales (GEMS) is one of ENGIE’s Business Units. We deliver services in supply and logistics management, asset management, risk management, market access management, while contributing to the market understanding, design and efficiency and developing market solutions to accelerate the energy transition.",SGD 10K - SGD 12K (Employer est.),(Employer est.),ENGIE ENERGY MARKETING SINGAPORE PTE. LTD.3.9 ★,3.9,78 %,"['Career Opportunities', '3.5', 'Comp & Benefits', '3.5', 'Culture & Values', '3.7', 'Senior Management', '3.4', 'Work/Life Balance', '3.6']","['Company - Public', '10000+ Employees', 'Energy, Mining & Utilities', 'Energy & Utilities', '2008']"
6,1008810124623,XP&A Business Analyst,Singapore,24h,"We are looking for a experienced business analyst to join our team as XP & A SME.

The ideal candidate will have 10-15 years of experience in the financial and asset management industry, with a strong understanding of extended planning and analysis principles including Finance, operations and other departments. The successful candidate will be responsible for developing and implementing financial models, preparing budgets and forecasts, and providing analysis and insights to support strategic decision-making.
Responsibilities:",SGD 7K - SGD 10K (Employer est.),(Employer est.),ARYAN SOLUTIONS PTE. LTD.3.9 ★,3.9,78 %,"['Career Opportunities', '4.0', 'Comp & Benefits', '3.2', 'Culture & Values', '3.9', 'Senior Management', '4.0', 'Work/Life Balance', '4.2']","['Company - Private', '1 to 50 Employees', None, None, None]"
7,1008798094006,IT Business Analyst (Permanent),Singapore,7d,"Our client is seeking a dedicated and skilled IT Business Analyst to join our team. You will play a vital role in bridging the gap between business requirements and technical solutions. Your primary responsibility will be to collaborate with various stakeholders, gather and define requirements, and translate them into detailed design specifications. Working closely with the Product Owner, Software Specialist, and Business teams, you will support new product launches and enhancements, ensuring smooth project execution and high-quality deliverables.
Responsibilities:
Requirements Gathering and Management: Work closely with business stakeholders to gather, verify, and document functional and technical requirements using established requirements management methodologies and tools.
Design Specifications: Translate gathered requirements into clear and comprehensive design specifications, ensuring a complete understanding of the requirements among all stakeholders.",SGD 6K - SGD 9K (Employer est.),(Employer est.),ZENITH INFOTECH (S) PTE LTD.3.5 ★,3.5,61 %,"['Career Opportunities', '3.7', 'Comp & Benefits', '3.3', 'Culture & Values', '3.3', 'Senior Management', '2.5', 'Work/Life Balance', '3.2']","['Company - Private', '201 to 500 Employees', 'Information Technology', 'Information Technology Support Services', '1996']"
8,1008777703385,"Business Analyst Manager- MIS (Retail Industry,East/ SQL, Excel, Power BI)",Singapore,17d,"Job Details
Full-time position with comprehensive benefits (Annual leave, medical benefits, variable bonuses)
Monday to Friday 8.30 am-5.30 pm
Located in the East area; Leading a team of 3-4pax
Proficiency in Business reporting is a must-have, Data Crunching with expertise in SQL, Power BI, Microsoft Excel (including Pivot tables and V lookup), Tableau, Python, and VBA .
Position Overview:
Manage the MIS team and take overall responsibility for all IT Resources, Services, and Deliverables within the organization.",SGD 8K - SGD 10K (Employer est.),(Employer est.),ALIGN RECRUITMENT PTE. LTD.5.0 ★,5.0,100 %,"['Career Opportunities', '5.0', 'Comp & Benefits', '3.0', 'Culture & Values', '5.0', 'Senior Management', '5.0', 'Work/Life Balance', '5.0']","['Company - Private', 'Unknown', None, None, None]"
9,1008810857988,Data Analyst - Power BI / ETL / R / Python,Singapore,24h,"Our Client a supply chain operator is in the midst of expanding their IT Team. This is a great opportunity to join a growing data science team IT. You will be a part of a diverse and global team that is leading the way in developing cargo solutions that make supply chains more agile, resilient, and sustainable.

Role
Data Extraction and Analysis: extract and analyse large volumes of data from various sources. He or she will gather relevant data for audit testing, identifying patterns, anomalies, and trends, and performing data-driven analysis to assess control effectiveness, detect fraud, or identify areas of risk.
Data Visualisation: create visually appealing and insightful dashboards, charts, and graphs to present audit findings and communicate complex data in a more understandable and impactful manner.
Data Governance and Data Quality: contribute to the establishment of robust data governance frameworks and data quality assurance processes and work closely with IT teams to ensure data integrity, accuracy, and availability, which is crucial for reliable audit testing and analysis.",SGD 5K - SGD 7K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
