,job_id,job_name,job_location,job_age,job_posting_description,job_salary_range,job_salary_estimate_type,company,company_total_rating,proportion_reviewers_recommend_company,company_individual_ratings,company_type_size_sector_industry_yearFounded
0,1008762069830,Senior Data Analyst,Remote,25d,"We are a leading ecommerce business (electric vehicles) committed to providing excellent service and a wide range of products to our customers. Our goal is to empower customers with high-quality items that enhance their lifestyles, and we’re looking for a Senior Data Analyst to help us understand our data and drive our business growth.
Job Description:
As our Senior Data Analyst, you will be responsible for analyzing our ecommerce and marketing data to help optimize our online store performance, improve our marketing strategies, and drive profitable growth. You'll work closely with various departments including marketing, inventory, and finance, providing actionable insights based on your analysis.
Responsibilities:",SGD 50K - SGD 55K (Employer est.),(Employer est.),VORO MOTORS3.8 ★,3.8,57 %,"['Career Opportunities', '3.0', '', '', 'Culture & Values', '3.1', 'Senior Management', '3.0', 'Work/Life Balance', '3.5']","['Company - Private', '51 to 200 Employees', 'Retail & Wholesale', 'Vehicle Dealers', '2017']"
1,1008799821199,"DATA Analyst Manager- MIS (Retail Industry,East/ SQL, Excel, Power BI)",Singapore,4d,"Job Details
Full-time position with comprehensive benefits (Annual leave, medical benefits, variable bonuses)
Monday to Friday 8.30 am-5.30 pm
Located in the East area; Leading a team of 3-4pax
Proficiency in Business reporting is a must-have, Data Crunching with expertise in SQL, Power BI, Microsoft Excel (including Pivot tables and V lookup), Tableau, Python, and VBA .
Position Overview:
Manage the MIS team and take overall responsibility for all IT Resources, Services, and Deliverables within the organization.",SGD 8K - SGD 10K (Employer est.),(Employer est.),ALIGN RECRUITMENT PTE. LTD.5.0 ★,5.0,100 %,"['Career Opportunities', '5.0', 'Comp & Benefits', '3.0', 'Culture & Values', '5.0', 'Senior Management', '5.0', 'Work/Life Balance', '5.0']","['Company - Private', 'Unknown', None, None, None]"
2,1008802010030,Business Data Analyst (Power BI Gateway),Singapore,3d,"Astek is proposing an opportunity for Business Data Analyst (Power BI Gateway) to support our project based in Singapore.



Responsibilities
Partner with Product Managers, end users, and product owners on their business goals, data needs, and reporting requirements.
Supports users by developing documentation and assistance tools.
Evaluate and analyze complex data sets, data profiling, and design efficient data models to ensure optimal data integration and performance within Power BI.
Implement data transformation processes using Power Query/M, SQL, or other tools to clean, transform, and enrich data from multiple sources.",SGD 6K - SGD 7K (Employer est.),(Employer est.),ASTEK SINGAPORE INNOVATION TECHNOLOGY PTE. LTD.4.1 ★,4.7,100 %,"['Career Opportunities', '4.6', 'Comp & Benefits', '4.5', 'Culture & Values', '4.8', 'Senior Management', '4.8', 'Work/Life Balance', '4.8']","['Company - Private', '5001 to 10000 Employees', 'Information Technology', 'Information Technology Support Services', '1988']"
3,1008781816578,Data Analyst - Power BI / ETL / R / Python,Singapore,14d,"Our Client a supply chain operator is in the midst of expanding their IT Team. This is a great opportunity to join a growing data science team IT. You will be a part of a diverse and global team that is leading the way in developing cargo solutions that make supply chains more agile, resilient, and sustainable.

Role
Data Extraction and Analysis: extract and analyse large volumes of data from various sources. He or she will gather relevant data for audit testing, identifying patterns, anomalies, and trends, and performing data-driven analysis to assess control effectiveness, detect fraud, or identify areas of risk.
Data Visualisation: create visually appealing and insightful dashboards, charts, and graphs to present audit findings and communicate complex data in a more understandable and impactful manner.
Data Governance and Data Quality: contribute to the establishment of robust data governance frameworks and data quality assurance processes and work closely with IT teams to ensure data integrity, accuracy, and availability, which is crucial for reliable audit testing and analysis.",SGD 5K - SGD 7K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
4,1008631922469,"Business/Data Analyst Manager - MIS (Retail Industry,East/ SQL, Excel, Power BI)",Singapore,30d+,"Job Details
Full-time position with comprehensive benefits (Annual leave, medical benefits, variable bonuses)
Monday to Friday 8.30 am-5.30 pm
Located in the East area; Leading a team of 3pax
Proficiency in Business reporting is a must-have, with expertise in SQL, Power BI, Microsoft Excel (including Pivot tables and V lookup), Tableau, Python, and VB A.
Position Overview:
Manage the MIS team and take overall responsibility for all IT Resources, Services, and Deliverables within the organization.",SGD 6K - SGD 10K (Employer est.),(Employer est.),ALIGN RECRUITMENT PTE. LTD.5.0 ★,5.0,100 %,"['Career Opportunities', '5.0', 'Comp & Benefits', '3.0', 'Culture & Values', '5.0', 'Senior Management', '5.0', 'Work/Life Balance', '5.0']","['Company - Private', 'Unknown', None, None, None]"
5,1008759418226,Data & AI Analyst,Singapore,27d,"Responsibilities
Collect, clean, and preprocess large datasets from various sources within the gaming ecosystem.
Conduct statistical analysis to evaluate game performance, identify areas for improvement, and develop data-driven recommendations.
Developing and implementing artificial intelligence algorithms (CV) to solve complex problems and improve processes.
Collaborate with cross-functional teams to define and prioritize analytical requirements.
Identify opportunities for process optimization, automation, and predictive modeling to enhance game design, monetization strategies, and player retention.
Requirements",SGD 6K - SGD 7K (Employer est.),(Employer est.),IFUN SINGAPORE PTE. LTD.3.3 ★,3.3,53 %,"['Career Opportunities', '3.4', 'Comp & Benefits', '4.1', 'Culture & Values', '3.1', 'Senior Management', '3.2', 'Work/Life Balance', '3.9']","['Contract', '201 to 500 Employees', None, None, None]"
6,1008802013880,Data Analyst - Power BI,Singapore,3d,"Our Client a supply chain operator is in the midst of expanding their IT Team. This is a great opportunity to join a growing data science team IT. You will be a part of a diverse and global team that is leading the way in developing cargo solutions that make supply chains more agile, resilient, and sustainable.

Role
Data Extraction and Analysis: extract and analyse large volumes of data from various sources. He or she will gather relevant data for audit testing, identifying patterns, anomalies, and trends, and performing data-driven analysis to assess control effectiveness, detect fraud, or identify areas of risk.
Data Visualisation: create visually appealing and insightful dashboards, charts, and graphs to present audit findings and communicate complex data in a more understandable and impactful manner.
Data Governance and Data Quality: contribute to the establishment of robust data governance frameworks and data quality assurance processes and work closely with IT teams to ensure data integrity, accuracy, and availability, which is crucial for reliable audit testing and analysis.",SGD 5K - SGD 7K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
7,1008691451985,Senior/ Staff Analyst - Data Scientist Information Technology,Singapore,30d+,"We are looking for a Data Scientist to lead and/or support end-to-end data science projects including cleaning/pruning of source data (data exploration), working with large data sets (including processing, manipulation, analysis, modelling etc.) analyzing data trends, correlations and patterns, translating data into useful insights to drive business and operational decisions.
In your new role, you will:
Lead and/or support end-to-end data science projects including cleaning/pruning of source data (data exploration), working with large data sets (including processing, manipulation, analysis, modelling etc.) analyzing data trends, correlations and patterns, translating data into useful insights to drive business and operational decisions.
Be able to leverage advanced data analysis skills, to prepare complex data analyses and models towards problem solving
Act as an analytics translator, communicate complex data-related requirements (from the business) to other parties (e.g. IT).",,,Infineon Technologies4.2 ★,4.2,86 %,"['Career Opportunities', '3.9', 'Comp & Benefits', '3.7', 'Culture & Values', '4.1', 'Senior Management', '3.7', 'Work/Life Balance', '4.2']","['Company - Public', '10000+ Employees', 'Manufacturing', 'Electronics Manufacturing', '1999']"
8,1008797062555,"Data Analyst, Office of Admissions",Singapore,7d,"Date: 4 Aug 2023
Location: UNIV ADMIN, Kent Ridge Campus, SG
Company: National University of Singapore
Job Description
To join the Office of Admissions (OAM) with the collection, analysis, visualisation of data and presentation of analytical results for regular and ad-hoc reporting purposes to meet the information and strategic requirements of OAM and the University.

Duties & Responsibilities",SGD 60K - SGD 66K (Glassdoor est.),(Glassdoor est.),National University of Singapore4.1 ★,4.1,70 %,"['Career Opportunities', '3.6', 'Comp & Benefits', '3.5', 'Culture & Values', '3.8', 'Senior Management', '3.5', 'Work/Life Balance', '3.9']","['College / University', '10000+ Employees', 'Education', 'Colleges & Universities', '1905']"
9,1008759418206,Statistical Data Analyst,Singapore,27d,"Responsibilities
Discuss with clients on their data analysis needs
Develop and implement data collecting strategies
Extract and organize raw data
Set parameters to disqualify non-usable data
Analyze and interpret data using statistical modeling software
Create spreadsheets and data analysis reports
Present reports to business development managers and stakeholders
Assist with the interpretation and use of extracted data",SGD 6K - SGD 7K (Employer est.),(Employer est.),IFUN SINGAPORE PTE. LTD.3.3 ★,3.3,53 %,"['Career Opportunities', '3.4', 'Comp & Benefits', '4.1', 'Culture & Values', '3.1', 'Senior Management', '3.2', 'Work/Life Balance', '3.9']","['Contract', '201 to 500 Employees', None, None, None]"
