,job_id,job_name,job_location,job_age,job_posting_description,job_salary_range,job_salary_estimate_type,company,company_total_rating,proportion_reviewers_recommend_company,company_individual_ratings,company_type_size_sector_industry_yearFounded
0,1008470406121,IT Field Support Engineer - Singapore,Singapore,30d+,"Position: IT Field Support Engineer - Spare Parts Management and Onsite Maintenance
Location: Singapore
Requirements:
Candidates must possess a College Degree.
Training and Certification would be an advantage.
- Hardware Certification on Various Hardware platforms
- Strong understanding of Windows/Unix fundamentals
- AIX - IBM Certified System Expert",SGD 5K - SGD 7K (Employer est.),(Employer est.),TRT (Singapore) Pte Limited2.7 ★,2.7,37 %,"['Career Opportunities', '2.3', 'Comp & Benefits', '2.7', 'Culture & Values', '2.4', 'Senior Management', '2.2', 'Work/Life Balance', '2.6']","['Company - Private', '1 to 50 Employees', 'Information Technology', 'Information Technology Support Services', '1997']"
1,1008768654871,Oracle Database Administrator,Singapore,21d,"Oracle Database Administrator #IMI
Description
We are hiring under Recruit Express headcount and you will be deployed to:


Location: Central
Pay: $6,500 - $9,000
Working Hours: Office hours",SGD 4K - SGD 6K (Employer est.),(Employer est.),Recruit Express3.3 ★,3.3,53 %,"['Career Opportunities', '3.2', 'Comp & Benefits', '3.2', 'Culture & Values', '3.3', 'Senior Management', '3.3', 'Work/Life Balance', '2.9']","['Company - Public', '201 to 500 Employees', 'Human Resources & Staffing', 'HR Consulting', '1996']"
2,1008797352916,Oracle Database Administrator (DBA) - no experience is fine. up to $5000,Singapore,7d,"Oracle Database Administrator (DBA) - no experience is fine. up to $5000 #IJJ
Description
Job Description & Requirements
To develop and maintain database design documents
Manage database environment inclusive of Oracle, SQL Server.
Monitoring system performance and identifying problems that arise.
Able to do SOD (Start-of-Day) checks on daily basis and fix the issues.",SGD 3K - SGD 4K (Employer est.),(Employer est.),Recruit Express3.3 ★,3.3,53 %,"['Career Opportunities', '3.2', 'Comp & Benefits', '3.2', 'Culture & Values', '3.3', 'Senior Management', '3.3', 'Work/Life Balance', '2.9']","['Company - Public', '201 to 500 Employees', 'Human Resources & Staffing', 'HR Consulting', '1996']"
3,1008810124843,Oracle Database Administrators - Analyst / Associate / AVP - Banking,Singapore,24h,"My client, a global Asian bank is looking for a Database Adminstrator / Server Admin at Analyst/Associate/AVP level to join the growing IT team and support their IT capabilities. This role would need to have prior experience as an Oracle Data Administrator.
Database design and documentation: Develop and maintain database design documents, ensuring they are up-to-date and reflect the current state of the database.
Database management: Manage the database environment, including Oracle and SQL Server. This includes tasks such as configuring and maintaining database servers, backing up and restoring databases, monitoring database performance, and troubleshooting database errors.
System performance monitoring and troubleshooting: Monitor system performance and identify and resolve problems. This includes performing daily start-of-day checks, identifying and fixing performance bottlenecks, and responding to user-reported errors.",SGD 5K - SGD 9K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
4,1008799303211,Database Administrator (Central Infra - Systems),Singapore,5d,"Roles And Responsibilities

Align database administration with overall strategic business strategy
Develop database infrastructure to support the long-term strategy for data storage
Assist with the development of business case justifications and cost/benefit analyses for spending and initiatives
Anticipate internal and/or external business challenges and/or regulatory issues for data protection
Develop policies, procedures, and controls to ensure data security and integrity",SGD 5K - SGD 9K (Employer est.),(Employer est.),SYNAPXE PTE. LTD.,,,,"[None, None, None, None, None]"
5,1008781815959,Database Administrator (Oracle / SQL Server) - Associate level,Singapore,14d,"My client, a global Asian bank is looking for a Database Adminstrator / Server Admin at ASsociate level to join the growing IT team and support their IT capabilities. This role would need to have prior experience as an Oracle Data Adminstrator.


Job Responsibilities

Database design and documentation: Develop and maintain database design documents, ensuring they are up-to-date and reflect the current state of the database.
Database management: Manage the database environment, including Oracle and SQL Server. This includes tasks such as configuring and maintaining database servers, backing up and restoring databases, monitoring database performance, and troubleshooting database errors.",SGD 6K - SGD 8K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
6,1008781816043,Database Administrator (Oracle / SQL Server) - Analyst level,Singapore,14d,"My client, a global Asian bank is looking for a Database Adminstrator / Server Admin at Analyst level to join the growing IT team and support their IT capabilities. This role would need to have prior experience as an Oracle Data Adminstrator.


Job Responsibilities
Manage database environment inclusive of Oracle, SQL Server.
Ability to do SOD (Start-of-Day) checks on daily basis and fix the issues by following the documented process.
Perform routine database administration tasks, such as backups, validating user rights, and day-to-day troubleshooting.
Ethically handling private data, including financial / customer data.",SGD 4K - SGD 5K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
7,1008781815986,Database Administrator (Oracle / SQL Server) - AVP level,Singapore,14d,"My client, a global Asian bank is looking for a Database Adminstrator / Server Admin at Assistant Vice President level to join the growing IT team and support their IT capabilities. This role would need to have prior experience as an Oracle Data Adminstrator.


Job Responsibilities

Database design and documentation: Develop and maintain database design documents, ensuring they are up-to-date and reflect the current state of the database.
Database management: Manage the database environment, including Oracle and SQL Server. This includes tasks such as configuring and maintaining database servers, backing up and restoring databases, monitoring database performance, and troubleshooting database errors.",SGD 8K - SGD 10K (Employer est.),(Employer est.),STELLAR LINK PARTNERS PTE. LTD.,,,,"[None, None, None, None, None]"
8,1008802011662,L2 SQL Database Administrator,Singapore,3d,"Job Specific Environment and/or Organization
Fluent English - written and spoken
French language is desirable
Working hours will primarily match Europe business hours
On-call support will be expected on a rotational basis
Candidate Profile
Mandatory track record
Manage SQL Server databases",SGD 6K - SGD 12K (Employer est.),(Employer est.),ADECCO PERSONNEL PTE LTD3.7 ★,3.7,69 %,"['Career Opportunities', '3.4', 'Comp & Benefits', '3.3', 'Culture & Values', '3.5', 'Senior Management', '3.3', 'Work/Life Balance', '3.4']","['Company - Public', '201 to 500 Employees', 'Human Resources & Staffing', 'Staffing & Subcontracting', '1996']"
9,1008766455658,PostgreSQL Database Administrator (DBA),Singapore,22d,"PostgreSQL Database Administrator (DBA)

Job Summary: We are seeking an experienced PostgreSQL Database Administrator (DBA) to join our team. The successful candidate will be responsible for maintaining the stability, performance, and security of our PostgreSQL database infrastructure. As a PostgreSQL DBA, you will collaborate with cross-functional teams to design, implement, and optimize database solutions that meet our organization's needs. This role requires strong technical expertise in PostgreSQL, database administration, troubleshooting, and a proactive approach to ensure the reliability and efficiency of our database systems.

Responsibilities:",SGD 8K - SGD 9K (Employer est.),(Employer est.),MEGAMIND CONSULTING PTE. LTD.,,,,"['Private Practice / Firm', '1 to 50 Employees', None, None, None]"
